,pool,b,rebase_time,swap_time,mean_stopping_index,start_time,end_time,mean_stopping_time,fee_wealth_mean,IL_mean,pnl_mean,pnl_IL_mean,fee_wealth_apr,IL_mean_apr,pnl_apr,pnl_IL_apr,effective_tx_ratio
0,USDC_WETH_3000_0815,0.05,183.0,112471.0,614.5956284153006,2021-05-05 09:50:51,2021-08-11 09:45:00,0 days 12:51:06.934426229,1.808252927158114,-3.1851346237724107,-1.2739095988535014,-1.3768816966143012,6.162615377271511,-10.855096273500141,-4.341546896034368,-4.692480896228646,0.18053542691004792
1,USDC_WETH_3000_0815,0.15,33.0,112471.0,3408.212121212121,2021-05-05 09:50:51,2021-08-11 09:45:00,2 days 23:16:11.181818181,3.6701741856172596,-8.594721384473608,-3.9934417522760626,-4.924547198856347,2.255565342479633,-5.282026057252882,-2.4542346924414766,-3.0264607147732474,0.06882663086484515
2,USDC_WETH_3000_0815,0.1,48.0,112471.0,2343.1458333333335,2021-05-05 09:50:51,2021-08-11 09:45:00,2 days 00:59:52.687500,3.2953985546118685,-6.295075908384436,-2.6202555207901317,-2.999677353772567,2.9458049052696675,-5.627260309382486,-2.342284685232136,-2.6814554041128176,0.09648709445101404
3,USDC_WETH_3000_0815,0.25,8.0,112471.0,14058.875,2021-05-05 09:50:51,2021-08-11 09:45:00,12 days 05:59:16.125000,7.998372147899854,-15.250346842947888,-4.977815650552266,-7.251974695048034,1.1916436164441806,-2.2720846352129564,-0.741623687186656,-1.080441018768776,0.03517351139404824
4,USDC_WETH_3000_0815,0.2,20.0,112471.0,5623.55,2021-05-05 09:50:51,2021-08-11 09:45:00,4 days 21:35:42.450000,4.349240387804412,-10.454700607482328,-4.4354054342513605,-6.105460219677918,1.6199372974503259,-3.894003995554459,-1.6520307114789803,-2.2740666981041335,0.051382134061224674
5,USDC_WETH_3000_0815,0.35,4.0,112471.0,28117.75,2021-05-05 09:50:51,2021-08-11 09:45:00,24 days 11:58:32.250000,11.98527316552266,-22.93109091243938,-6.927654642414119,-10.945817746916688,0.8928175630578097,-1.7082030942436517,-0.5160609733400742,-0.8153855311858397,0.03195490393079105
6,USDC_WETH_3000_0815,0.3,6.0,112471.0,18745.166666666668,2021-05-05 09:50:51,2021-08-11 09:45:00,16 days 07:59:01.500000,13.56070740287308,-17.866629389786524,-1.2053231140812197,-4.305921986913423,1.51526430431323,-1.9964051246324621,-0.13468199229370462,-0.48114082031922994,0.0546451974286705
7,USDC_WETH_3000_0815,0.45,2.0,112471.0,56235.5,2021-05-05 09:50:51,2021-08-11 09:45:00,48 days 23:57:04.500000,26.02149222022417,-29.384020177708933,3.0405108735772473,-3.3625279574848577,0.969208000115497,-1.0944502025774039,0.11324821183079099,-0.12524220246191053,0.027482639969414337
8,USDC_WETH_3000_0815,0.4,2.0,112471.0,56235.5,2021-05-05 09:50:51,2021-08-11 09:45:00,48 days 23:57:04.500000,31.026492594079762,-27.092512142137423,7.396293962358527,3.9339804519424035,1.1556264561313183,-1.0090996814924251,0.27548563390812636,0.14652677463889535,0.028754078829209308
9,USDC_WETH_3000_0815,0.55,2.0,112471.0,56235.5,2021-05-05 09:50:51,2021-08-11 09:45:00,48 days 23:57:04.500000,24.45600819216779,-42.26176778046961,-6.847199161454014,-17.80575958830184,0.9108992900997804,-1.5741004814481632,-0.2550338062667869,-0.6632011913483834,0.02360608512416534
10,USDC_WETH_3000_0815,0.5,2.0,112471.0,56235.5,2021-05-05 09:50:51,2021-08-11 09:45:00,48 days 23:57:04.500000,21.715660254154926,-35.20974328676709,-5.883599079021309,-13.494083032612195,0.808831079631903,-1.3114376603285203,-0.21914313170816677,-0.5026065806966183,0.018724826844253185
11,USDC_WETH_3000_0815,0.65,2.0,112471.0,56235.5,2021-05-05 09:50:51,2021-08-11 09:45:00,48 days 23:57:04.500000,14.883199494646359,-29.22153394092632,2.5250595790737833,-14.338334446280001,0.5543462263979996,-1.0883981683871444,0.09404948509849513,-0.5340519419891464,0.013345662437428315
12,USDC_WETH_3000_0815,0.6,2.0,112471.0,56235.5,2021-05-05 09:50:51,2021-08-11 09:45:00,48 days 23:57:04.500000,24.543035332562262,-31.0021851588629,6.234751525696026,-6.4591498263005604,0.9141407414348404,-1.1547210906559224,0.23222231093804782,-0.24058034922107918,0.025615491993491654
13,USDC_WETH_3000_0815,0.75,1.0,112471.0,112471.0,2021-05-05 09:50:51,2021-08-11 09:45:00,97 days 23:54:09,14.780808801724351,-9.939862427675337,-1.688241804034476,4.840946374048968,0.2752662686975871,-0.1851122545820585,-0.03144050019790789,0.09015401411552769,0.007557503712067999
14,USDC_WETH_3000_0815,0.7,2.0,112471.0,56235.5,2021-05-05 09:50:51,2021-08-11 09:45:00,48 days 23:57:04.500000,7.952709998819238,-33.09344412708495,-6.072127876797822,-25.14073412826575,0.296210151524804,-1.2326130464730753,-0.22616515863539804,-0.9364028949482727,0.008215451094059802
15,USDC_WETH_3000_0815,0.85,1.0,112471.0,112471.0,2021-05-05 09:50:51,2021-08-11 09:45:00,97 days 23:54:09,14.780808801724351,-9.939862427675337,-1.688241804034476,4.840946374048968,0.2752662686975871,-0.1851122545820585,-0.03144050019790789,0.09015401411552769,0.007557503712067999
16,USDC_WETH_3000_0815,0.8,1.0,112471.0,112471.0,2021-05-05 09:50:51,2021-08-11 09:45:00,97 days 23:54:09,14.780808801724351,-9.939862427675337,-1.688241804034476,4.840946374048968,0.2752662686975871,-0.1851122545820585,-0.03144050019790789,0.09015401411552769,0.007557503712067999
