,pool,b,rebase_time,swap_time,mean_stopping_index,start_time,end_time,mean_stopping_time,fee_wealth_mean,IL_mean,pnl_mean,pnl_IL_mean,fee_wealth_apr,IL_mean_apr,pnl_apr,pnl_IL_apr,effective_tx_ratio
0,RAI_WETH_500_0815,0.05,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,RAI_WETH_500_0815,0.15,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,RAI_WETH_500_0815,0.1,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,RAI_WETH_500_0815,0.25,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RAI_WETH_500_0815,0.2,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,RAI_WETH_500_0815,0.35,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,RAI_WETH_500_0815,0.3,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,RAI_WETH_500_0815,0.45,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,RAI_WETH_500_0815,0.4,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,RAI_WETH_500_0815,0.55,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,RAI_WETH_500_0815,0.5,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,RAI_WETH_500_0815,0.65,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,RAI_WETH_500_0815,0.6,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,RAI_WETH_500_0815,0.75,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,RAI_WETH_500_0815,0.7,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,RAI_WETH_500_0815,0.85,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,RAI_WETH_500_0815,0.8,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,RAI_WETH_500_0815,0.95,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,RAI_WETH_500_0815,0.9,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,RAI_WETH_500_0815,1.05,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,RAI_WETH_500_0815,1.0,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,RAI_WETH_500_0815,1.15,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,RAI_WETH_500_0815,1.1,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,RAI_WETH_500_0815,1.25,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,RAI_WETH_500_0815,1.2,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,RAI_WETH_500_0815,1.35,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,RAI_WETH_500_0815,1.3,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,RAI_WETH_500_0815,1.45,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,RAI_WETH_500_0815,1.4,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,RAI_WETH_500_0815,1.55,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,RAI_WETH_500_0815,1.5,1.0,1.0,1.0,2021-05-16 21:06:21,2021-08-10 17:13:46,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
